date,open,high,low,close,volume
20/4/2020,67.16,68.0612,66.8942,66.9135,31415058
21/4/2020,66.7564,66.9907,64.1347,64.8451,43732229
22/4/2020,66.1113,67.1478,65.7706,66.7129,28236978
23/4/2020,66.6574,68.0781,66.4157,66.4544,30158405
24/4/2020,66.9787,68.3826,66.9304,68.3729,30483822
27/4/2020,68.0902,68.7522,67.6432,68.4212,28291394
28/4/2020,68.8827,69.0639,67.2203,67.3121,27063243
29/4/2020,68.7981,69.9918,68.5952,69.523,33170587
30/4/2020,70.0619,71.1661,69.6728,70.9897,44233010
1/5/2020,69.1654,72.2461,69.0688,69.8468,58139252
4/5/2020,69.871,70.9632,69.1824,70.8351,32273512
5/5/2020,71.2941,72.7294,71.1492,71.8982,35700515
6/5/2020,72.5989,73.2706,72.2147,72.64,34391487
7/5/2020,73.2659,73.737,72.9638,73.3915,27838995
8/5/2020,74.0505,75.1916,73.7234,75.1383,32426369
11/5/2020,74.6464,76.8149,74.4381,76.3206,35359883
12/5/2020,77.0038,77.4545,75.3273,75.4484,39322327
13/5/2020,75.6277,76.5483,73.4617,74.5374,48606768
14/5/2020,73.7767,75.056,73.0547,74.9954,38505392
15/5/2020,72.7688,74.598,72.7349,74.552,40302902
18/5/2020,75.8748,76.6816,75.1843,76.3085,32751019
19/5/2020,76.3255,77.1711,75.8361,75.8676,24647061
20/5/2020,76.7252,77.4133,76.6864,77.343,27015367
21/5/2020,77.2049,77.7452,76.529,76.7664,24879437
22/5/2020,76.5048,77.3431,76.403,77.2607,19819287
26/5/2020,78.3775,78.5568,76.6816,76.7373,30411453
27/5/2020,76.5944,77.2171,75.8555,77.0717,27364366
28/5/2020,76.747,78.363,76.4708,77.1056,32359106
29/5/2020,77.3479,77.8082,76.6743,77.0305,37197828
1/6/2020,76.9845,78.0989,76.8536,77.9778,19574087
2/6/2020,77.7113,78.363,77.2703,78.3388,21234093
3/6/2020,78.6587,79.0318,78.0869,78.7701,25316136
4/6/2020,78.5932,78.8912,77.7186,78.0917,21214137
5/6/2020,78.3412,80.3764,78.3121,80.3158,33253019
8/6/2020,80.013,80.8246,79.3031,80.7907,23175151
9/6/2020,80.4709,83.7344,80.4394,83.3419,35787761
10/6/2020,84.2892,85.9537,83.8507,85.4861,40376361
11/6/2020,84.6309,85.0549,81.2801,81.3819,48858795
12/6/2020,83.5188,84.265,80.9749,82.0845,48491394
15/6/2020,80.7398,83.7513,80.5775,83.0996,33630589
16/6/2020,85.1517,85.5733,83.5187,85.3019,40080070
17/6/2020,86.0457,86.1063,85.0621,85.1832,27718374
18/6/2020,85.1396,85.6338,84.609,85.2171,23457634
19/6/2020,85.9222,86.3874,83.623,84.7302,64077274
22/6/2020,85.1226,87.0899,85.0766,86.947,32815654
23/6/2020,88.1899,90.2202,87.7708,88.8029,51401065
24/6/2020,88.4322,89.3504,86.8622,87.2353,46668729
25/6/2020,87.3904,88.4322,86.632,88.3934,33318914
26/6/2020,88.2893,88.5098,85.5297,85.6775,49729631
29/6/2020,85.5855,87.7466,85.1082,87.6521,31652928
30/6/2020,87.2401,88.6696,87.2208,88.3837,33973260
1/7/2020,88.4613,89.004,88.1681,88.2166,26829418
2/7/2020,89.1227,89.7575,88.1027,88.2166,27630008
6/7/2020,89.6436,91.044,89.6121,90.5764,28747886
7/7/2020,90.9543,91.732,90.1839,90.2953,27238174
8/7/2020,91.2717,92.4298,91.1845,92.3983,28369043
9/7/2020,93.29,93.3433,91.749,92.7957,30440750
10/7/2020,92.3911,93.0161,91.7805,92.958,21867517
13/7/2020,94.2615,96.8684,92.316,92.5292,46432791
14/7/2020,91.9114,94.2518,90.9786,94.0604,41427279
15/7/2020,95.9332,96.1828,93.5104,94.7073,37116830
16/7/2020,93.5807,94.3971,92.9435,93.5419,26790745
17/7/2020,93.9925,94.1476,92.8805,93.3529,22335016
20/7/2020,93.4401,95.4583,93.0961,95.3202,21882240
21/7/2020,96.11,96.1851,93.7551,94.0046,25059785
22/7/2020,93.7066,94.9495,93.6194,94.2687,21563302
